target,max_stage,n_drugs,drugs,drug_types,max_stage_label
ADORA1,1.0,1,CAFFEINE,Small molecule,Phase I
ADORA2A,1.0,1,CAFFEINE,Small molecule,Phase I
ADORA2B,1.0,1,CAFFEINE,Small molecule,Phase I
ADORA3,1.0,1,CAFFEINE,Small molecule,Phase I
ADRA2A,1.0,1,CLONIDINE,Small molecule,Phase I
ADRA2B,1.0,1,CLONIDINE,Small molecule,Phase I
ADRA2C,1.0,1,CLONIDINE,Small molecule,Phase I
ADRB1,1.0,1,METOPROLOL,Small molecule,Phase I
AHR,4.0,1,TAPINAROF,Small molecule,Approved
ATP4A,1.0,1,OMEPRAZOLE,Small molecule,Phase I
ATP4B,1.0,1,OMEPRAZOLE,Small molecule,Phase I
BTK,2.0,2,BRANEBRUTINIB; RILZABRUTINIB,Small molecule,Phase II
CHRM3,4.0,1,IPRATROPIUM BROMIDE,Small molecule,Approved
CNR1,3.0,1,CANNABIDIOL,Small molecule,Phase III
CNR2,2.0,1,S-777469,Small molecule,Phase II
CYSLTR1,,1,MONTELUKAST,Small molecule,unknown
DHFR,3.0,1,METHOTREXATE,Small molecule,Phase III
FKBP1A,4.0,3,PIMECROLIMUS; TACROLIMUS; TACROLIMUS ANHYDROUS,Small molecule,Approved
GABRA1,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRA2,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRA3,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRA4,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRA5,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRA6,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRB1,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRB2,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRB3,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRD,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRE,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRG1,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRG2,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRG3,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRP,1.0,1,MIDAZOLAM,Small molecule,Phase I
GABRQ,1.0,1,MIDAZOLAM,Small molecule,Phase I
HRH1,4.0,15,BEPOTASTINE; BILASTINE; CETIRIZINE; CLEMASTINE FUMARATE; DESLORATADINE,Small molecule,Approved
HRH2,3.0,1,CIMETIDINE,Small molecule,Phase III
HRH4,2.0,1,ADRIFORANT,Small molecule,Phase II
IGHE,2.0,2,LIGELIZUMAB; OMALIZUMAB,Antibody,Phase II
IL12A,2.0,1,USTEKINUMAB,Antibody,Phase II
IL12B,2.0,2,RISANKIZUMAB; USTEKINUMAB,Antibody,Phase II
IL13,4.0,3,CENDAKIMAB; LEBRIKIZUMAB; TRALOKINUMAB,Antibody,Approved
IL17A,2.0,1,SECUKINUMAB,Antibody,Phase II
IL18,2.0,2,CAMOTESKIMAB; GSK-1070806,Antibody; Unknown,Phase II
IL1A,2.0,2,BERMEKIMAB; LUTIKIZUMAB,Antibody,Phase II
IL1B,2.0,1,LUTIKIZUMAB,Antibody,Phase II
IL1R1,1.0,1,ANAKINRA,Protein,Phase I
IL1RAP,2.0,2,ASTEGOLIMAB; SPESOLIMAB,Antibody,Phase II
IL1RL1,2.0,1,ASTEGOLIMAB,Antibody,Phase II
IL1RL2,2.0,1,SPESOLIMAB,Antibody,Phase II
IL22,2.0,1,FEZAKINUMAB,Antibody,Phase II
IL23A,2.0,2,RISANKIZUMAB; USTEKINUMAB,Antibody,Phase II
IL31RA,4.0,1,NEMOLIZUMAB,Antibody,Approved
IL33,2.0,3,ETOKIMAB; ITEPEKIMAB; TORUDOKIMAB,Antibody,Phase II
IL4R,4.0,1,DUPILUMAB,Antibody,Approved
IL5,2.0,1,MEPOLIZUMAB,Antibody,Phase II
IL5RA,2.0,1,BENRALIZUMAB,Antibody,Phase II
INPP5D,2.0,1,ROSIPTOR,Small molecule,Phase II
IRS1,3.0,1,AGANIRSEN,Oligonucleotide,Phase III
ITGAL,2.0,1,EFALIZUMAB,Antibody,Phase II
ITGB2,2.0,1,EFALIZUMAB,Antibody,Phase II
JAK1,4.0,10,ABROCITINIB; BARICITINIB; BREPOCITINIB; CERDULATINIB; DELGOCITINIB,Small molecule,Approved
JAK2,4.0,7,BARICITINIB; DELGOCITINIB; GUSACITINIB; RUXOLITINIB; RUXOLITINIB PHOSPHATE,Small molecule,Approved
JAK3,4.0,6,CERDULATINIB; DELGOCITINIB; GUSACITINIB; RUXOLITINIB; TOFACITINIB,Small molecule,Approved
MMP1,2.0,1,DOXYCYCLINE,Small molecule,Phase II
MMP13,2.0,1,DOXYCYCLINE,Small molecule,Phase II
MMP7,2.0,1,DOXYCYCLINE,Small molecule,Phase II
MMP8,2.0,1,DOXYCYCLINE,Small molecule,Phase II
MS4A1,,1,RITUXIMAB,Antibody,unknown
MTNR1A,1.0,1,MELATONIN,Small molecule,Phase I
MTNR1B,1.0,1,MELATONIN,Small molecule,Phase I
NR1H2,2.0,1,ROVAZOLAC,Small molecule,Phase II
NR1H3,2.0,1,ROVAZOLAC,Small molecule,Phase II
NR3C1,4.0,28,ALCLOMETASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE,Small molecule,Approved
NTRK1,2.0,1,PEGCANTRATINIB,Small molecule,Phase II
OPRD1,2.0,1,NALTREXONE,Small molecule,Phase II
OPRK1,3.0,2,DIFELIKEFALIN; NALTREXONE,Protein; Small molecule,Phase III
OPRM1,2.0,1,NALTREXONE,Small molecule,Phase II
OSMR,1.0,1,VIXARELIMAB,Antibody,Phase I
P2RX3,2.0,1,CAMLIPIXANT,Small molecule,Phase II
PDE4A,4.0,5,APREMILAST; CRISABOROLE; DIFAMILAST; LOTAMILAST; ROFLUMILAST,Small molecule,Approved
PDE4B,4.0,5,APREMILAST; CRISABOROLE; DIFAMILAST; LOTAMILAST; ROFLUMILAST,Small molecule,Approved
PDE4C,4.0,5,APREMILAST; CRISABOROLE; DIFAMILAST; LOTAMILAST; ROFLUMILAST,Small molecule,Approved
PDE4D,4.0,5,APREMILAST; CRISABOROLE; DIFAMILAST; LOTAMILAST; ROFLUMILAST,Small molecule,Approved
PPARG,,1,PIOGLITAZONE,Small molecule,unknown
PPAT,,1,AZATHIOPRINE,Small molecule,unknown
PPIA,3.0,1,CYCLOSPORINE,Protein,Phase III
PTGDR2,2.0,2,FEVIPIPRANT; TIMAPIPRANT,Small molecule,Phase II
PTGS1,,1,ASPIRIN,Small molecule,unknown
PTGS2,,1,ASPIRIN,Small molecule,unknown
S1PR1,3.0,1,ETRASIMOD,Small molecule,Phase III
S1PR4,3.0,1,ETRASIMOD,Small molecule,Phase III
S1PR5,3.0,1,ETRASIMOD,Small molecule,Phase III
SCN10A,,1,LIDOCAINE,Small molecule,unknown
SCN11A,,1,LIDOCAINE,Small molecule,unknown
SCN1A,,1,LIDOCAINE,Small molecule,unknown
SCN2A,,1,LIDOCAINE,Small molecule,unknown
SCN3A,,1,LIDOCAINE,Small molecule,unknown
SCN4A,,1,LIDOCAINE,Small molecule,unknown
SCN5A,,1,LIDOCAINE,Small molecule,unknown
SCN7A,,1,LIDOCAINE,Small molecule,unknown
SCN8A,,1,LIDOCAINE,Small molecule,unknown
SCN9A,,1,LIDOCAINE,Small molecule,unknown
SELE,2.0,1,BIMOSIAMOSE,Small molecule,Phase II
SELL,2.0,1,BIMOSIAMOSE,Small molecule,Phase II
SELP,2.0,1,BIMOSIAMOSE,Small molecule,Phase II
SIGLEC8,2.0,1,LIRENTELIMAB,Antibody,Phase II
SLC6A2,4.0,1,DOXEPIN HYDROCHLORIDE,Small molecule,Approved
SNAP25,1.0,1,BOTULINUM TOXIN TYPE A,Protein,Phase I
SYK,2.0,2,CERDULATINIB; GUSACITINIB,Small molecule,Phase II
TACR1,3.0,2,DNK333; TRADIPITANT,Small molecule,Phase III
TNF,,1,ADALIMUMAB,Antibody,unknown
TNFRSF4,3.0,2,ROCATINLIMAB; TELAZORLIMAB,Antibody,Phase III
TNFSF4,3.0,1,AMLITELIMAB,Antibody,Phase III
TRPV1,3.0,1,PAC-14028,Unknown,Phase III
TSLP,2.0,1,TEZEPELUMAB,Antibody,Phase II
TYK2,4.0,8,BREPOCITINIB; CERDULATINIB; DELGOCITINIB; DEUCRAVACITINIB; GUSACITINIB,Small molecule,Approved
VDR,3.0,4,CALCIPOTRIENE; CALCITRIOL; CHOLECALCIFEROL; ERGOCALCIFEROL,Small molecule,Phase III
VKORC1,1.0,1,WARFARIN,Small molecule,Phase I
